X1        As(10A)_mp11    X2         CdAs_mp7373    X3        TeAs_mp10051    X4         CdAs2_mp471    X5  Te3As2_mp484_merged  
 11856.61600  0.003277854  11856.61600  0.002723912  11856.61600  0.001111969  11856.61600  0.000899178  11856.61600  0.000565130
 11858.33300 -0.003323150  11858.33300 -0.002773540  11858.33300 -0.002329604  11858.33300 -0.001883802  11858.33300 -0.001183961
 11859.90100 -0.003870878  11859.90100 -0.003191487  11859.90100  0.001217634  11859.90100  0.000984623  11859.90100  0.000618831
 11861.32000  0.003916174  11861.32000  0.003241114  11861.32000  0.014743182  11861.32000  0.011678859  11861.32000  0.007160494
 11862.59000  0.023870548  11862.59000  0.019445168  11862.59000  0.043491259  11862.59000  0.033859074  11862.59000  0.020377544
 11863.71000  0.062518434  11863.71000  0.050145198  11863.71000  0.096816746  11863.71000  0.073613244  11863.71000  0.043464003
 11864.68100  0.130752220  11864.68100  0.103080956  11864.68100  0.190979932  11864.68100  0.141203976  11864.68100  0.081711623
 11865.50200  0.242591933  11865.50200  0.189058828  11865.50200  0.346856042  11865.50200  0.251151936  11865.50200  0.141647126
 11866.11600  0.396418253  11866.11600  0.305015982  11866.11600  0.565891377  11866.11600  0.400122054  11866.11600  0.221830361
 11866.74200  0.641497231  11866.74200  0.500809405  11866.74200  0.901114554  11866.74200  0.646298782  11866.74200  0.342278735
 11867.36900  0.943923468  11867.36900  0.775050153  11867.36900  1.212749357  11867.36900  0.964236982  11867.36900  0.464455187
 11867.99500  1.193949470  11867.99500  1.022992763  11867.99500  1.349963179  11867.99500  1.204081399  11867.99500  0.554951265
 11868.62200  1.319917196  11868.62200  1.143566980  11868.62200  1.272894901  11868.62200  1.263420025  11868.62200  0.606042602
 11869.24900  1.350567256  11869.24900  1.169516307  11869.24900  1.080059356  11869.24900  1.217074008  11869.24900  0.655642452
 11869.87500  1.310342817  11869.87500  1.159597236  11869.87500  0.878237537  11869.87500  1.169509583  11869.87500  0.726262069
 11870.50200  1.216677369  11870.50200  1.140422455  11870.50200  0.740348564  11870.50200  1.174334886  11870.50200  0.818993944
 11871.12900  1.083726855  11871.12900  1.115169789  11871.12900  0.689929568  11871.12900  1.224094593  11871.12900  0.910947304
 11871.75500  0.949065074  11871.75500  1.084537332  11871.75500  0.711706653  11871.75500  1.273227615  11871.75500  0.970936036
 11872.38200  0.854042544  11872.38200  1.053716793  11872.38200  0.786197561  11872.38200  1.278392199  11872.38200  0.993750323
 11872.76400  0.831689162  11872.76400  1.037977823  11872.76400  0.845893437  11872.76400  1.258644803  11872.76400  0.994410618
 11873.41800  0.833487645  11873.41800  1.022568151  11873.41800  0.935455579  11873.41800  1.220203459  11873.41800  0.990955728
 11874.10800  0.879666590  11874.10800  1.023729596  11874.10800  1.001207416  11874.10800  1.196884623  11874.10800  0.982597823
 11874.83600  0.946878157  11874.83600  1.034262679  11874.83600  1.050361561  11874.83600  1.191717724  11874.83600  0.969262219
 11875.60200  1.003386847  11875.60200  1.033877423  11875.60200  1.093645888  11875.60200  1.190141753  11875.60200  0.952375674
 11876.40500  1.034165818  11876.40500  1.012819913  11876.40500  1.126670403  11876.40500  1.174461430  11876.40500  0.938758828
 11877.24500  1.044550981  11877.24500  0.984804112  11877.24500  1.145624115  11877.24500  1.125605068  11877.24500  0.940676040
 11878.12200  1.039413383  11878.12200  0.958806208  11878.12200  1.158027512  11878.12200  1.054992425  11878.12200  0.965844996
 11879.03700  1.029007308  11879.03700  0.932099658  11879.03700  1.176723224  11879.03700  1.004175161  11879.03700  1.012385419
 11879.98900  1.022361062  11879.98900  0.909206805  11879.98900  1.208511640  11879.98900  0.990390573  11879.98900  1.073574971
 11880.97800  1.023531112  11880.97800  0.902158288  11880.97800  1.260940315  11880.97800  1.002057908  11880.97800  1.136155036
 11882.00500  1.026815217  11882.00500  0.911995515  11882.00500  1.327177653  11882.00500  1.013603983  11882.00500  1.177728529
 11883.06900  1.020859579  11883.06900  0.931257490  11883.06900  1.337038979  11883.06900  1.015410729  11883.06900  1.177636753
 11884.17100  1.011689434  11884.17100  0.958925630  11884.17100  1.219513141  11884.17100  1.022238906  11884.17100  1.139000175
 11885.31000  1.012517772  11885.31000  0.991493345  11885.31000  1.072560998  11885.31000  1.039058235  11885.31000  1.082985635
 11886.48600  1.014560130  11886.48600  1.016317300  11886.48600  0.992319537  11886.48600  1.056648877  11886.48600  1.025441875
 11887.69900  1.008057963  11887.69900  1.032469874  11887.69900  0.942159044  11887.69900  1.069025187  11887.69900  0.980258337
 11888.95000  0.998242862  11888.95000  1.043019222  11888.95000  0.885732820  11888.95000  1.078342289  11888.95000  0.953961964
 11890.23800  0.990469330  11890.23800  1.049586382  11890.23800  0.838341160  11890.23800  1.085142861  11890.23800  0.941633148
 11891.56400  0.987107784  11891.56400  1.052701249  11891.56400  0.814973449  11891.56400  1.088350099  11891.56400  0.934795709
 11892.92700  0.988722091  11892.92700  1.052882025  11892.92700  0.794713920  11892.92700  1.086989765  11892.92700  0.923844953
 11894.32700  0.994737300  11894.32700  1.048571307  11894.32700  0.761656216  11894.32700  1.078922304  11894.32700  0.906733131
 11895.76400  1.003957943  11895.76400  1.037291826  11895.76400  0.745258596  11895.76400  1.063021867  11895.76400  0.892566637
 11897.23900  1.013825422  11897.23900  1.017722219  11897.23900  0.776257161  11897.23900  1.041518157  11897.23900  0.889585258
 11898.75100  1.021267316  11898.75100  0.993133471  11898.75100  0.853534029  11898.75100  1.019727109  11898.75100  0.901500893
 11900.30100  1.024778767  11900.30100  0.968534232  11900.30100  0.961097806  11900.30100  1.002223115  11900.30100  0.929203104
 11901.88800  1.024036173  11901.88800  0.948812233  11901.88800  1.070839386  11901.88800  0.991452410  11901.88800  0.970412317
 11903.51200  1.018530543  11903.51200  0.937636461  11903.51200  1.136671269  11903.51200  0.987212490  11903.51200  1.016242492
 11905.17300  1.008284141  11905.17300  0.937450443  11905.17300  1.132741781  11905.17300  0.987350154  11905.17300  1.052970899
 11906.87200  0.995015203  11906.87200  0.948686482  11906.87200  1.083936443  11906.87200  0.988017736  11906.87200  1.070113687
