X1        As(10A)_mp11    X2         CdAs_mp7373    X3        TeAs_mp10051    X4         CdAs2_mp471    X5  Te3As2_mp484_merged  
 11908.60800  0.982182254  11908.60800  0.969344656  11908.60800  1.028884987  11908.60800  0.985741027  11908.60800  1.066659860
 11910.38200  0.973709877  11910.38200  0.996815877  11910.38200  0.988878231  11910.38200  0.980219902  11910.38200  1.049789968
 11912.19300  0.972107082  11912.19300  1.028037631  11912.19300  0.972302453  11912.19300  0.975758204  11912.19300  1.028714661
 11914.04100  0.977667892  11914.04100  1.058149452  11914.04100  0.976489667  11914.04100  0.977757829  11914.04100  1.009241780
 11915.92700  0.988595330  11915.92700  1.078601864  11915.92700  0.991346068  11915.92700  0.988629690  11915.92700  0.994300735
 11917.85000  1.000219160  11917.85000  1.082224229  11917.85000  1.008464411  11917.85000  1.007619167  11917.85000  0.985877415
 11919.81000  1.005009294  11919.81000  1.070141069  11919.81000  1.024016296  11919.81000  1.031959449  11919.81000  0.984406387
 11921.80700  0.997998651  11921.80700  1.049058934  11921.80700  1.034448171  11921.80700  1.053324070  11921.80700  0.988005245
 11923.84200  0.981726653  11923.84200  1.024480334  11923.84200  1.038823167  11923.84200  1.058563997  11923.84200  0.994024314
 11925.91500  0.962435746  11925.91500  1.000430393  11925.91500  1.044562646  11925.91500  1.038883364  11925.91500  1.000532437
 11928.02400  0.942614875  11928.02400  0.980360766  11928.02400  1.062188215  11928.02400  0.994959697  11928.02400  1.006667883
