 X1  As_0109_(ASU_standard)    X2  As_0110_(ASU_standard)    X3  As2O3_0111_(ASU_standard)    X4  As2O3_0112_(ASU_standard)    X5  exp_As_(FL_database)    X6  exp_As2O3_(XAFS_Lib)    X7  exp_As2O5_(XAFS_Lib)  
 11883.06900  1.237601373  11883.06900  1.112396554  11883.06900  1.405249509  11883.06900  1.504640202  11883.06900  1.049394069  11883.06900  1.058340894  11883.06900  0.850731513
 11884.17100  1.214151535  11884.17100  1.086321555  11884.17100  1.386265218  11884.17100  1.463314004  11884.17100  1.041780987  11884.17100  1.074353276  11884.17100  0.877482250
 11885.31000  1.177281892  11885.31000  1.068692579  11885.31000  1.337827299  11885.31000  1.409164838  11885.31000  1.033229266  11885.31000  1.070215267  11885.31000  0.900358990
 11886.48600  1.161548797  11886.48600  1.068013946  11886.48600  1.302051318  11886.48600  1.369330558  11886.48600  1.023770166  11886.48600  1.059568082  11886.48600  0.924003153
 11887.69900  1.138908226  11887.69900  1.052606177  11887.69900  1.287212512  11887.69900  1.365774624  11887.69900  1.014143679  11887.69900  1.052426472  11887.69900  0.950335186
 11888.95000  1.115644854  11888.95000  1.036190695  11888.95000  1.252774553  11888.95000  1.322082246  11888.95000  1.007100225  11888.95000  1.044152476  11888.95000  0.977575821
 11890.23800  1.088538447  11890.23800  1.025215418  11890.23800  1.209153985  11890.23800  1.259673854  11890.23800  1.003177825  11890.23800  1.034143176  11890.23800  0.999730216
 11891.56400  1.076223595  11891.56400  1.024991253  11891.56400  1.176845246  11891.56400  1.257023371  11891.56400  1.003084633  11891.56400  1.019082135  11891.56400  1.009201651
 11892.92700  1.058452929  11892.92700  1.018903826  11892.92700  1.137707374  11892.92700  1.208215191  11892.92700  1.003820225  11892.92700  1.006309312  11892.92700  1.008422827
 11894.32700  1.035776278  11894.32700  1.000469493  11894.32700  1.093296906  11894.32700  1.123435410  11894.32700  1.002866028  11894.32700  0.993209118  11894.32700  1.000874735
 11895.76400  1.019164794  11895.76400  0.997090488  11895.76400  1.048390647  11895.76400  1.090805550  11895.76400  1.003652832  11895.76400  0.987405800  11895.76400  0.996589537
 11897.23900  1.010984137  11897.23900  0.991629064  11897.23900  1.026875066  11897.23900  1.073203916  11897.23900  1.006726439  11897.23900  0.990866634  11897.23900  0.996953259
 11898.75100  1.017010101  11898.75100  1.003170496  11898.75100  1.029246526  11898.75100  1.063711045  11898.75100  1.010032944  11898.75100  0.997996868  11898.75100  1.002706764
 11900.30100  1.015197816  11900.30100  1.008348205  11900.30100  1.026155458  11900.30100  1.052105241  11900.30100  1.007570595  11900.30100  1.002722145  11900.30100  1.010200774
 11901.88800  1.006460506  11901.88800  1.000882986  11901.88800  1.013431232  11901.88800  1.030668683  11901.88800  1.001122946  11901.88800  1.003874163  11901.88800  1.013871588
 11903.51200  1.001520463  11903.51200  1.006142518  11903.51200  1.006235814  11903.51200  1.004340804  11903.51200  0.991341634  11903.51200  1.001904670  11903.51200  1.012986332
 11905.17300  0.986012999  11905.17300  1.002387732  11905.17300  0.990931208  11905.17300  0.987360928  11905.17300  0.987084243  11905.17300  0.997925537  11905.17300  1.008776113
 11906.87200  0.977626845  11906.87200  0.988914971  11906.87200  0.982808725  11906.87200  0.966886730  11906.87200  0.988778308  11906.87200  0.993609319  11906.87200  1.001963809
 11908.60800  0.980570961  11908.60800  0.990322096  11908.60800  0.973603415  11908.60800  0.967177937  11908.60800  0.991851450  11908.60800  0.990745548  11908.60800  0.993167977
 11910.38200  0.980893345  11910.38200  0.996250969  11910.38200  0.948433943  11910.38200  0.951494013  11910.38200  0.995357049  11910.38200  0.991237095  11910.38200  0.985483744
 11912.19300  0.993046693  11912.19300  0.996487129  11912.19300  0.964349378  11912.19300  0.970221631  11912.19300  1.001186894  11912.19300  0.998114078  11912.19300  0.982037059
 11914.04100  1.010193311  11914.04100  1.005465032  11914.04100  0.991792990  11914.04100  0.999930874  11914.04100  1.006153928  11914.04100  1.005895141  11914.04100  0.983894773
 11915.92700  1.015180210  11915.92700  1.010919472  11915.92700  1.004231266  11915.92700  1.015929627  11915.92700  1.006679626  11915.92700  1.010932901  11915.92700  0.990350926
 11917.85000  1.016287980  11917.85000  1.005611660  11917.85000  1.017544715  11917.85000  1.017118736  11917.85000  1.004588363  11917.85000  1.007766338  11917.85000  0.999512331
 11919.81000  1.010462030  11919.81000  0.993514059  11919.81000  1.019485413  11919.81000  1.013072930  11919.81000  1.001525310  11919.81000  0.999796795  11919.81000  1.009580303
 11921.80700  1.020206825  11921.80700  0.997049917  11921.80700  1.031750972  11921.80700  1.014159520  11921.80700  0.998404343  11921.80700  0.988689785  11921.80700  1.016929096
 11923.84200  1.030829681  11923.84200  0.990455120  11923.84200  1.032072524  11923.84200  1.009530774  11923.84200  0.995224138  11923.84200  0.978713043  11923.84200  1.020549916
 11925.91500  1.037200669  11925.91500  0.994855191  11925.91500  1.041319791  11925.91500  1.035274815  11925.91500  0.991984446  11925.91500  0.967289445  11925.91500  1.016950382
 11928.02400  1.043407752  11928.02400  0.977277630  11928.02400  1.038461218  11928.02400  1.036676726  11928.02400  0.988688413  11928.02400  0.951836284  11928.02400  1.006988141
