str_1,str_2
Energy (keV),I_0 (a.u.)
11.85,3873
11.8505,3720
11.851,3936
11.8515,3891
11.852,4014
11.8525,3984
11.853,4203
11.8535,4152
11.854,4404
11.8545,4428
11.855,4506
11.8555,4779
11.856,4578
11.8565,4743
11.857,4722
11.8575,4884
11.858,5145
11.8585,5295
11.859,5337
11.8595,5457
11.86,5523
11.8605,5952
11.861,5922
11.8615,6237
11.862,6522
11.8625,6561
11.863,7023
11.8635,7485
11.864,7809
11.8645,8574
11.865,8790
11.8655,9405
11.866,10284
11.8665,11157
11.867,12372
11.8675,14004
11.868,15624
11.8685,18654
11.869,22242
11.8695,28317
11.87,34485
11.8705,42939
11.871,49608
11.8715,57996
11.872,71394
11.8725,84360
11.873,107688
11.8735,130641
11.874,144225
11.8745,146358
11.875,139173
11.8755,132051
11.876,127215
11.8765,124197
11.877,120495
11.8775,115782
11.878,112245
11.8785,106896
11.879,102783
11.8795,100275
11.88,94899
11.8805,92460
11.881,91494
11.8815,89739
11.882,87399
11.8825,86736
11.883,85605
11.8835,85041
11.884,84240
11.8845,84390
11.885,84270
11.8855,82887
11.886,82095
11.8865,82032
11.887,81027
11.8875,80889
11.888,80928
11.8885,79572
11.889,78546
11.8895,77928
11.89,77688
11.8905,77004
11.891,77694
11.8915,77199
11.892,78009
11.8925,76476
11.893,76209
11.8935,75546
11.894,74337
11.8945,74910
11.895,73854
11.8955,74169
11.896,74142
11.8965,73359
11.897,72288
11.8975,72159
11.898,72051
11.8985,71679
11.899,72312
11.8995,70713
11.9,70548
11.9005,69168
11.901,69225
11.9015,67950
11.902,68091
11.9025,67482
11.903,66957
11.9035,67344
11.904,67020
11.9045,67503
11.905,66942
11.9055,66048
11.906,65604
11.9065,66357
11.907,65730
11.9075,65982
11.908,65406
11.9085,64845
11.909,65232
11.9095,64839
11.91,65076
