str_1,str_2
Energy (keV),I_0 (a.u.)
11.85,6249
11.8505,6567
11.851,6180
11.8515,6369
11.852,6639
11.8525,6816
11.853,6984
11.8535,7242
11.854,7539
11.8545,7470
11.855,7746
11.8555,8160
11.856,8292
11.8565,8661
11.857,8796
11.8575,9267
11.858,9681
11.8585,9807
11.859,10293
11.8595,10701
11.86,11274
11.8605,11199
11.861,11841
11.8615,12579
11.862,13245
11.8625,14265
11.863,15453
11.8635,16317
11.864,17064
11.8645,18429
11.865,19941
11.8655,20994
11.866,23628
11.8665,25917
11.867,28509
11.8675,33105
11.868,37203
11.8685,41652
11.869,48801
11.8695,60729
11.87,74055
11.8705,90465
11.871,110994
11.8715,136527
11.872,169521
11.8725,231720
11.873,301332
11.8735,376803
11.874,434622
11.8745,453546
11.875,424506
11.8755,383535
11.876,342924
11.8765,311286
11.877,292605
11.8775,275175
11.878,266112
11.8785,247602
11.879,234981
11.8795,221484
11.88,207411
11.8805,197352
11.881,189012
11.8815,184122
11.882,180528
11.8825,182367
11.883,187203
11.8835,197592
11.884,207969
11.8845,219171
11.885,224373
11.8855,226185
11.886,224199
11.8865,220026
11.887,214269
11.8875,210771
11.888,206874
11.8885,205359
11.889,202239
11.8895,201198
11.89,200343
11.8905,198165
11.891,196305
11.8915,191769
11.892,189864
11.8925,185898
11.893,184611
11.8935,182376
11.894,182499
11.8945,180933
11.895,178470
11.8955,174054
11.896,170538
11.8965,168354
11.897,163155
11.8975,163341
11.898,160995
11.8985,160515
11.899,162471
11.8995,162612
11.9,159753
11.9005,159462
11.901,160386
11.9015,162183
11.902,159942
11.9025,161340
11.903,159678
11.9035,160080
11.904,159027
11.9045,158706
11.905,158808
11.9055,157887
11.906,157182
11.9065,155670
11.907,154686
11.9075,153960
11.908,153414
11.9085,152649
11.909,153057
11.9095,151518
11.91,151242
