Expected whiteline energy for AS2O3: 11856.616
,Energy measurement,Delta E
1,11869.88,13.26
2,11876.4,19.79
3,11866.74,10.13
4,11874.11,17.49
5,11879.04,22.42
6,11882.0,25.39
7,11885.31,28.69
8,11872.38,15.77
9,11887.7,31.08
