X1  As_0109_(ASU_stand.)    X2  As_0110_(ASU_stand.)    X3  As2O3_0111_(ASU_stand.)    X4  As2O3_0112_(ASU_stand.)    X5  As2O5_(XAFS_Lib)  
 11900.30100  0.986656789  11900.30100  0.985133590  11900.30100  0.968946522  11900.30100  0.968742952  11900.30100  1.002947666
 11901.88800  0.981835416  11901.88800  0.976722879  11901.88800  0.962555119  11901.88800  0.958418397  11901.88800  0.992784182
 11903.51200  0.980634704  11903.51200  0.983783163  11903.51200  0.961899851  11903.51200  0.943863344  11903.51200  0.975898156
 11905.17300  0.969651822  11905.17300  0.981227317  11905.17300  0.953203003  11905.17300  0.938014454  11905.17300  0.955217539
 11906.87200  0.965393164  11906.87200  0.968296539  11906.87200  0.951916616  11906.87200  0.929210030  11906.87200  0.932566911
 11908.60800  0.971783760  11908.60800  0.973489249  11908.60800  0.949686995  11908.60800  0.939484664  11908.60800  0.909561267
 11910.38200  0.975807932  11910.38200  0.984885619  11910.38200  0.931484417  11910.38200  0.935464744  11910.38200  0.893202300
 11912.19300  0.990948525  11912.19300  0.990728564  11912.19300  0.954938343  11912.19300  0.962921623  11912.19300  0.890566607
 11914.04100  1.010825697  11914.04100  1.007767971  11914.04100  0.990189236  11914.04100  1.000568836  11914.04100  0.904253560
 11915.92700  1.019437120  11915.92700  1.021883857  11915.92700  1.010435824  11915.92700  1.025978958  11915.92700  0.933020664
 11917.85000  1.024506818  11917.85000  1.024762248  11917.85000  1.031717235  11917.85000  1.038147625  11917.85000  0.973035462
 11919.81000  1.023184735  11919.81000  1.021058375  11919.81000  1.041660068  11919.81000  1.045773633  11919.81000  1.020680704
 11921.80700  1.036468439  11921.80700  1.036765117  11921.80700  1.062184224  11921.80700  1.058275856  11921.80700  1.068370148
 11923.84200  1.050651167  11923.84200  1.042159411  11923.84200  1.070796767  11923.84200  1.065804717  11923.84200  1.114236375
 11925.91500  1.060946487  11925.91500  1.061737605  11925.91500  1.088581226  11925.91500  1.101146867  11925.91500  1.151003259
 11928.02400  1.071164436  11928.02400  1.057422602  11928.02400  1.094282434  11928.02400  1.114581374  11928.02400  1.180812221
