X1        As_mp11    X2         CdAs_mp7373    X3        TeAs_mp10051    X4         CdAs2_mp471    X5  Te3As2_mp484    X6  Cd3As2_cod945    X7  As_mp1238842    X8       As_mp1182332    X9       As_mp1096826    X10          As_mp158    X11            As_mp10    X12   CdAs3_mp1183659    X13   Cd3As_mp1183587    X14   TeAs2_mp1217320    X15   As2Se_mp1228838    X16 As2Se3_mp909    X17 As2Se3_mp1078443    X18 As4Se3_mp1194350    X19   AsCl3_cod4317526    X20 AsCl3_mp23280    X21 AsCl3O_mp29863  
 11856.61600  0.012535614  11856.61600  0.008232508  11856.61600  0.012279046  11856.61600  0.004250127  11856.61600  0.004470184  11856.61600  0.007342977  11856.61600  0.009245624  11856.61600  0.008553208  11856.61600  0.011238385  11856.61600  0.005817216  11856.61600  0.014171763  11856.61600  0.005636695  11856.61600  0.015933017  11856.61600  0.027144121  11856.61600  0.012236109  11856.61600  0.009813805  11856.61600  0.003427111  11856.61600  0.013270718  11856.61600  0.005628243  11856.61600  0.006361342  11856.61600  0.019394284
 11858.33300  0.001430712  11858.33300  0.000929741  11858.33300 -5.44695e-15  11858.33300  2.39864e-16  11858.33300 -3.35992e-15  11858.33300  0.000844442  11858.33300 -4.10087e-15  11858.33300  0.000954157  11858.33300  0.001286841  11858.33300 -9.45025e-16  11858.33300 -5.08004e-15  11858.33300 -2.63049e-15  11858.33300  0.001791462  11858.33300  0.013338435  11858.33300  0.004790024  11858.33300  0.001098344  11858.33300 -2.11565e-15  11858.33300  0.001512521  11858.33300 -1.25440e-15  11858.33300 -4.07369e-15  11858.33300  0.002220825
 11859.90100 -0.003011654  11859.90100 -0.001957108  11859.90100 -2.51848e-15  11859.90100  1.90543e-16  11859.90100 -2.80385e-15  11859.90100 -0.001777553  11859.90100 -3.30042e-15  11859.90100 -0.002008504  11859.90100 -0.002708806  11859.90100 -4.48596e-16  11859.90100 -3.09200e-15  11859.90100 -1.89556e-15  11859.90100 -0.003771035  11859.90100  0.001527133  11859.90100 -9.44453e-15  11859.90100 -0.002312018  11859.90100 -1.79673e-15  11859.90100 -0.003183863  11859.90100 -6.89222e-16  11859.90100 -2.60787e-15  11859.90100 -0.004674845
 11861.32000  0.001580942  11861.32000  0.001027367  11861.32000  0.017289795  11861.32000  0.005810143  11861.32000  0.005895319  11861.32000  0.000933111  11861.32000  0.012946867  11861.32000  0.001054347  11861.32000  0.001421964  11861.32000  0.007999106  11861.32000  0.019948691  11861.32000  0.007934073  11861.32000  0.001979572  11861.32000 -0.003233434  11861.32000 -4.22685e-15  11861.32000  0.001213674  11861.32000  0.004560168  11861.32000  0.001671341  11861.32000  0.007927715  11861.32000  0.008913128  11861.32000  0.002454020
 11862.59000  0.019193784  11862.59000  0.012283506  11862.59000  0.060659309  11862.59000  0.020056396  11862.59000  0.020010998  11862.59000  0.011089524  11862.59000  0.045191339  11862.59000  0.012337086  11862.59000  0.017337921  11862.59000  0.027674899  11862.59000  0.069367295  11862.59000  0.027806351  11862.59000  0.023517353  11862.59000  0.001706301  11862.59000  0.006296477  11862.59000  0.014305496  11862.59000  0.015558304  11862.59000  0.020052066  11862.59000  0.027661535  11862.59000  0.031101218  11862.59000  0.029593837
 11863.71000  0.056615621  11863.71000  0.035695443  11863.71000  0.145792210  11863.71000  0.047107859  11863.71000  0.046183264  11863.71000  0.032129779  11863.71000  0.107554245  11863.71000  0.035358900  11863.71000  0.051267591  11863.71000  0.065348805  11863.71000  0.164714461  11863.71000  0.066569708  11863.71000  0.068052388  11863.71000  0.018473942  11863.71000  0.021040851  11863.71000  0.041153269  11863.71000  0.036174196  11863.71000  0.058609060  11863.71000  0.066073892  11863.71000  0.074031387  11863.71000  0.086770722
 11864.68100  0.125170467  11864.68100  0.077621925  11864.68100  0.299938847  11864.68100  0.094326072  11864.68100  0.090764177  11864.68100  0.069482175  11864.68100  0.218390799  11864.68100  0.075651732  11864.68100  0.113544289  11864.68100  0.131695332  11864.68100  0.333422921  11864.68100  0.136244929  11864.68100  0.147277040  11864.68100  0.049631279  11864.68100  0.047056986  11864.68100  0.088427301  11864.68100  0.071750047  11864.68100  0.128171644  11864.68100  0.134996688  11864.68100  0.150395877  11864.68100  0.190135079
 11865.50200  0.239439565  11865.50200  0.146945037  11865.50200  0.558092330  11865.50200  0.172130121  11865.50200  0.161591307  11865.50200  0.130806817  11865.50200  0.401477507  11865.50200  0.140353027  11865.50200  0.217343463  11865.50200  0.241048821  11865.50200  0.611800139  11865.50200  0.253004387  11865.50200  0.276392720  11865.50200  0.096903907  11865.50200  0.086957210  11865.50200  0.164129590  11865.50200  0.128924666  11865.50200  0.242278741  11865.50200  0.249569323  11865.50200  0.275995445  11865.50200  0.360265061
 11866.11600  0.397879842  11866.11600  0.241240263  11866.11600  0.922892962  11866.11600  0.278202089  11866.11600  0.257014246  11866.11600  0.212357769  11866.11600  0.656265451  11866.11600  0.226761249  11866.11600  0.362241773  11866.11600  0.391465391  11866.11600  0.996947535  11866.11600  0.416495421  11866.11600  0.451337959  11866.11600  0.147886848  11866.11600  0.140572952  11866.11600  0.266722608  11866.11600  0.206747660  11866.11600  0.399455658  11866.11600  0.408464301  11866.11600  0.449508141  11866.11600  0.594259357
 11866.74200  0.651179853  11866.74200  0.401123804  11866.74200  1.482392491  11866.74200  0.453998672  11866.74200  0.400764212  11866.74200  0.354219881  11866.74200  1.062335914  11866.74200  0.367108361  11866.74200  0.594721939  11866.74200  0.627879990  11866.74200  1.620074544  11866.74200  0.674640123  11866.74200  0.733624673  11866.74200  0.242570144  11866.74200  0.231038697  11866.74200  0.430115789  11866.74200  0.323683089  11866.74200  0.650881003  11866.74200  0.635606057  11866.74200  0.699737432  11866.74200  0.975850231
 11867.36900  0.964110128  11867.36900  0.625472099  11867.36900  1.991008082  11867.36900  0.690907378  11867.36900  0.543321406  11867.36900  0.564373048  11867.36900  1.537648621  11867.36900  0.555189932  11867.36900  0.887908629  11867.36900  0.906090014  11867.36900  2.351033580  11867.36900  0.968156705  11867.36900  1.104879925  11867.36900  0.393796133  11867.36900  0.387320666  11867.36900  0.643235081  11867.36900  0.448438273  11867.36900  0.966135043  11867.36900  0.883340178  11867.36900  0.986643752  11867.36900  1.472683529
 11867.99500  1.222933150  11867.99500  0.835640606  11867.99500  2.207423462  11867.99500  0.871642246  11867.99500  0.647890534  11867.99500  0.793730714  11867.99500  1.898191922  11867.99500  0.745271346  11867.99500  1.136468432  11867.99500  1.104453803  11867.99500  2.919016374  11867.99500  1.151744880  11867.99500  1.422601085  11867.99500  0.653325628  11867.99500  0.614966300  11867.99500  0.849052648  11867.99500  0.530429131  11867.99500  1.239055656  11867.99500  1.031905926  11867.99500  1.203761255  11867.99500  1.940960809
