X1     CdTe_As__Te_111    X2     CdTe_As__Te_112    X3          CdSe_As__Cd    X4        CdSe_As-i_Cd    X5      CdSe_As-i_neut    X6        CdSe_As-i_Se    X7          CdSe_As__Se    X8        CdTe_As-i_Te  
 11879.03700  0.912114768  11879.03700  0.977465533  11879.03700  0.787690286  11879.03700  1.138443395  11879.03700  0.879838279  11879.03700  0.902972877  11879.03700  0.980049874  11879.03700  1.070915304
 11879.98900  0.934194742  11879.98900  0.930178455  11879.98900  0.806882912  11879.98900  1.087286023  11879.98900  0.884922672  11879.98900  0.910184830  11879.98900  1.071920296  11879.98900  1.102738035
 11880.97800  0.982334912  11880.97800  0.892249948  11880.97800  0.845526147  11880.97800  1.022878223  11880.97800  0.893641216  11880.97800  0.933042395  11880.97800  1.106561816  11880.97800  1.090523047
 11882.00500  0.974547285  11882.00500  0.869478267  11882.00500  0.890943904  11882.00500  0.977087185  11882.00500  0.900878605  11882.00500  0.985774531  11882.00500  1.041311646  11882.00500  1.065091229
 11883.06900  0.880835364  11883.06900  0.869479933  11883.06900  0.931344456  11883.06900  0.959519572  11883.06900  0.914906081  11883.06900  1.057741898  11883.06900  0.957504631  11883.06900  1.051464635
 11884.17100  0.828786132  11884.17100  0.881923374  11884.17100  0.960665724  11884.17100  0.963165053  11884.17100  0.935555309  11884.17100  1.103951888  11884.17100  0.939937006  11884.17100  1.048194651
 11885.31000  0.841078459  11885.31000  0.898762061  11885.31000  0.987986692  11885.31000  0.965659097  11885.31000  0.957176810  11885.31000  1.099828429  11885.31000  0.954553796  11885.31000  1.028484538
 11886.48600  0.876498913  11886.48600  0.920833713  11886.48600  1.008084357  11886.48600  0.965102120  11886.48600  0.980274515  11886.48600  1.077070870  11886.48600  0.963949736  11886.48600  0.987136753
 11887.69900  0.919538411  11887.69900  0.946375546  11887.69900  1.014113717  11887.69900  0.969128288  11887.69900  1.000378607  11887.69900  1.059480509  11887.69900  0.970076702  11887.69900  0.937369975
 11888.95000  0.965844851  11888.95000  0.973050099  11888.95000  1.006569329  11888.95000  0.978496279  11888.95000  1.015097313  11888.95000  1.051370933  11888.95000  0.976541768  11888.95000  0.896302910
 11890.23800  1.020390670  11890.23800  1.000860160  11890.23800  0.992059772  11890.23800  0.991634276  11890.23800  1.024215192  11890.23800  1.048808994  11890.23800  0.984278012  11890.23800  0.875784782
 11891.56400  1.075869135  11891.56400  1.028763356  11891.56400  0.977662821  11891.56400  1.006401788  11891.56400  1.027900403  11891.56400  1.046075573  11891.56400  0.993733930  11891.56400  0.882139912
 11892.92700  1.106624625  11892.92700  1.052167164  11892.92700  0.968810111  11892.92700  1.018375730  11892.92700  1.027257146  11892.92700  1.039208383  11892.92700  1.004224720  11892.92700  0.914849735
 11894.32700  1.101133120  11894.32700  1.067622698  11894.32700  0.968635175  11894.32700  1.021052721  11894.32700  1.024471825  11894.32700  1.026343035  11894.32700  1.014917787  11894.32700  0.964607190
 11895.76400  1.078757384  11895.76400  1.074165347  11895.76400  0.977459013  11895.76400  1.012848678  11895.76400  1.019926270  11895.76400  1.008096993  11895.76400  1.025412501  11895.76400  1.016615317
 11897.23900  1.057897164  11897.23900  1.069634701  11897.23900  0.993127011  11897.23900  0.999150785  11897.23900  1.011676803  11897.23900  0.985121677  11897.23900  1.034196093  11897.23900  1.059175982
 11898.75100  1.038261440  11898.75100  1.053976653  11898.75100  1.011494242  11898.75100  0.986763300  11898.75100  0.997795316  11898.75100  0.957525062  11898.75100  1.042162422  11898.75100  1.089522987
 11900.30100  1.013502744  11900.30100  1.030901432  11900.30100  1.028154715  11900.30100  0.977211926  11900.30100  0.979730709  11900.30100  0.929735556  11900.30100  1.051776382  11900.30100  1.108688446
 11901.88800  0.984913860  11901.88800  1.005092775  11901.88800  1.039204289  11901.88800  0.966789132  11901.88800  0.962921419  11901.88800  0.911396742  11901.88800  1.062620562  11901.88800  1.118763229
 11903.51200  0.959844275  11903.51200  0.980485118  11903.51200  1.042721807  11903.51200  0.954658401  11903.51200  0.953341043  11903.51200  0.912401537  11903.51200  1.067820925  11903.51200  1.126100763
 11905.17300  0.942979059  11905.17300  0.960561152  11905.17300  1.039552921  11905.17300  0.946513164  11905.17300  0.953893439  11905.17300  0.935573282  11905.17300  1.055769972  11905.17300  1.133174254
 11906.87200  0.935359599  11906.87200  0.947139201  11906.87200  1.031018288  11906.87200  0.948343004  11906.87200  0.962094881  11906.87200  0.974236019  11906.87200  1.022547960  11906.87200  1.131541627
 11908.60800  0.936720188  11908.60800  0.940045748  11908.60800  1.016653294  11908.60800  0.960684687  11908.60800  0.973411115  11908.60800  1.017492746  11908.60800  0.978871288  11908.60800  1.110496068
 11910.38200  0.945858617  11910.38200  0.939228869  11910.38200  0.996187156  11910.38200  0.978640666  11910.38200  0.985302823  11910.38200  1.054317175  11910.38200  0.941216629  11910.38200  1.070535748
 11912.19300  0.958050661  11912.19300  0.945480070  11912.19300  0.972669994  11912.19300  0.994556049  11912.19300  0.997255386  11912.19300  1.074468596  11912.19300  0.918870040  11912.19300  1.024302716
 11914.04100  0.970712716  11914.04100  0.959364075  11914.04100  0.953062768  11914.04100  1.002457886  11914.04100  1.008544132  11914.04100  1.071290217  11914.04100  0.912225776  11914.04100  0.981695510
 11915.92700  0.986490763  11915.92700  0.979255575  11915.92700  0.945357915  11915.92700  1.005445870  11915.92700  1.017430791  11915.92700  1.046624598  11915.92700  0.917831026  11915.92700  0.944906453
 11917.85000  1.006853751  11917.85000  1.001162150  11917.85000  0.955393422  11917.85000  1.014176336  11917.85000  1.022039607  11917.85000  1.009760595  11917.85000  0.933128193  11917.85000  0.916086388
 11919.81000  1.025690729  11919.81000  1.021132281  11919.81000  0.984086864  11919.81000  1.035893934  11919.81000  1.021960243  11919.81000  0.973204573  11919.81000  0.959848511  11919.81000  0.901887637
 11921.80700  1.033410966  11921.80700  1.034758456  11921.80700  1.023071663  11921.80700  1.067937096  11921.80700  1.019001890  11921.80700  0.946993164  11921.80700  0.998056391  11921.80700  0.908030831
 11923.84200  1.029990859  11923.84200  1.037733467  11923.84200  1.054848837  11923.84200  1.096634494  11923.84200  1.014078984  11923.84200  0.930374583  11923.84200  1.043653771  11923.84200  0.933084648
 11925.91500  1.028803506  11925.91500  1.030207331  11925.91500  1.065322725  11925.91500  1.101103391  11925.91500  1.004843508  11925.91500  0.913028587  11925.91500  1.090218638  11925.91500  0.967203382
 11928.02400  1.041508667  11928.02400  1.016352455  11928.02400  1.057200190  11928.02400  1.070885286  11928.02400  0.988870434  11928.02400  0.887743914  11928.02400  1.126475503  11928.02400  1.000119542
