energy	As_0109_(ASU_standard)	As_0110_(ASU_standard)	As2O3_0111_(ASU_standard)	As2O3_0112_(ASU_standard)	exp_As_(FL_database)	exp_As2O3_(XAFS_Lib)	exp_As2O5_(XAFS_Lib)																																																													
11874.108	1.2620385	1.2113467	1.1640342	1.1313199	1.1875287	1.3594593	1.2152452																																																													
11874.836	1.1618874	1.1193906	1.1165675	1.0946413	1.117627	1.2354351	1.4407595																																																													
11875.602	1.0697755	1.0548525	1.0614634	1.0534172	1.0508544	1.1284431	1.5898561																																																													
11876.405	1.0224784	1.0013395	1.0273218	1.0010022	1.0051563	1.0382654	1.6181934																																																													
11877.245	0.96978637	0.95079044	0.97329824	0.94564011	0.98101148	0.96911493	1.5119918																																																													
11878.122	0.94143495	0.91681506	0.91049537	0.89749742	0.97383617	0.92326199	1.3278821																																																													
11879.037	0.93059529	0.92101581	0.86390208	0.86182356	0.9832081	0.90043769	1.1225275																																																													
11879.989	0.93877465	0.94242712	0.87334788	0.87662827	0.99784493	0.91629546	1.0024398																																																													
11880.978	0.97162291	0.97216212	0.93298664	0.93794102	1.0078731	0.95399072	0.95653276																																																													
11882.005	1.0114497	1.020124	0.99802579	1.0164308	1.0106771	1.0012148	0.95255387																																																													
11883.069	1.0286442	1.0400733	1.0347897	1.0437234	1.0092179	1.0348391	0.96915465																																																													
11884.171	1.0224799	1.0207037	1.0367838	1.0351885	1.0055657	1.0474587	0.98568347																																																													
11885.31	1.0081183	1.0089613	1.0222733	1.0204429	1.0012387	1.0410552	0.99658031																																																													
11886.486	1.0074171	1.012176	1.0154779	1.0135454	0.99626217	1.0290945	1.0092236																																																													
11887.699	1.0026378	1.0031718	1.0211565	1.0258742	0.99123434	1.0214877	1.0267441																																																													
11888.95	0.99776347	0.99376429	1.0160093	1.0178542	0.98838099	1.0137752	1.0464779																																																													
11890.238	0.99074937	0.98951679	1.0060149	1.0005706	0.9881348	1.0054587	1.0592158																																																													
11891.564	0.99339018	0.99502492	1.0029709	1.0146886	0.99107053	0.99338227	1.0532145																																																													
11892.927	0.9928711	0.99604912	0.99643313	1.0053268	0.99476029	0.98484339	1.0324394																																																													
11894.327	0.98953991	0.98705409	0.98729672	0.97776212	0.997168	0.97737671	1.0024804																																																													
11895.764	0.99033612	0.99160401	0.9783087	0.97764603	1.0010672	0.97856479	0.97916826																																																													
11897.239	0.99676393	0.99502206	0.98321735	0.98575927	1.0069014	0.99044973	0.96481811																																																													
11898.751	1.0124688	1.0137272	1.0022964	0.99850552	1.0130079	1.0076476	0.96076281																																																													
11900.301	1.0235147	1.0276962	1.0186793	1.0106011	1.014537	1.0243193	0.96146072																																																													
11901.888	1.0304714	1.0315681	1.0299559	1.0180361	1.0129283	1.0394268	0.95839866																																																													
11903.512	1.040121	1.0471644	1.0448455	1.0233694	1.0087086	1.0535303	0.95060674																																																													
11905.173	1.0433775	1.0558558	1.0555052	1.0339777	1.0090386	1.0678403	0.94018805																																																													
11906.872	1.0514373	1.0570852	1.0707404	1.0432197	1.0142662	1.0841327	0.92845582																																																													
11908.608	1.0669548	1.0720087	1.0857864	1.0636515	1.0206927	1.1042779	0.9165674																																																													
11910.382	1.0811129	1.0917812	1.092097	1.0762513	1.0275551	1.1302856	0.90955464																																																													
11912.193	1.1030454	1.1076657	1.1224681	1.1071103	1.0363805	1.1652465	0.91249785																																																													
11914.041	1.1284273	1.1321004	1.1599023	1.1440906	1.0445924	1.203917	0.92726411																																																													
11915.927	1.1464168	1.1546064	1.1891525	1.1744121	1.0493001	1.242874	0.95296363																																																													
11917.85	1.1622437	1.1690035	1.2193395	1.1974937	1.0519762	1.2768832	0.98684096																																																													
11919.81	1.1739759	1.1787486	1.2434198	1.2182956	1.0539507	1.3094231	1.0262979																																																													
11921.807	1.195848	1.2031436	1.2738712	1.2421886	1.0559624	1.3422721	1.0658854																																																													
11923.842	1.2185744	1.220123	1.2978991	1.2635647	1.0580125	1.379788	1.1042648																																																													
11925.915	1.2389103	1.2478774	1.3275052	1.3011194	1.0601008	1.4195968	1.1362098																																																													
11928.024	1.2594257	1.2581186	1.3505713	1.3264842	1.0622253	1.4592685	1.1632532																																																													
