 X1  As_mp_1238842    X2       As_mp_1182332    X3       As_mp_1096826    X4           As_mp_158    X5             As_mp_10    X6        As_mp_11    X7         CdAs_mp_7373    X8  Cd3As2_cod4337945    X9         CdAs2_mp_471    X10   CdAs3_mp_1183659    X11   Cd3As_mp_1183587    X12       TeAs_mp_10051    X13 Te3As2_mp_484    X14   TeAs2_mp_1217320    X15   As2Se_mp_1228838    X16 As2Se3_mp_909    X17 As2Se3_mp_1078443    X18 As4Se3_mp_1194350    X19   AsCl3_cod4317526    X20 AsCl3_mp_23280    X21 AsCl3O_mp_29863 
 11856.61600  0.001153128  11856.61600  0.002426193  11856.61600  0.003328781  11856.61600  0.000828300  11856.61600  0.001334270  11856.61600  0.003169587  11856.61600  0.002972521  11856.61600  0.002848064  11856.61600  0.000836543  11856.61600  0.001221029  11856.61600  0.003201997  11856.61600  0.001150042  11856.61600  0.000631686  11856.61600  0.007506442  11856.61600  0.001930260  11856.61600  0.002629244  11856.61600  0.000557241  11856.61600  0.003276582  11856.61600  0.000893885  11856.61600  0.000970569  11856.61600  0.004504682
 11858.33300 -0.002415832  11858.33300 -0.002482709  11858.33300 -0.003370223  11858.33300 -0.001735309  11858.33300 -0.002795329  11858.33300 -0.003213387  11858.33300 -0.003026678  11858.33300 -0.002878328  11858.33300 -0.001752578  11858.33300 -0.002558087  11858.33300 -0.003266202  11858.33300 -0.002409368  11858.33300 -0.001323398  11858.33300  0.002173253  11858.33300 -0.001815101  11858.33300 -0.002686982  11858.33300 -0.001167434  11858.33300 -0.003323758  11858.33300 -0.001872711  11858.33300 -0.002033367  11858.33300 -0.004560678
 11859.90100  0.001262704  11859.90100 -0.002816744  11859.90100 -0.003940614  11859.90100  0.000907009  11859.90100  0.001461059  11859.90100 -0.003743023  11859.90100 -0.003482771  11859.90100 -0.003382473  11859.90100  0.000916035  11859.90100  0.001337058  11859.90100 -0.003739287  11859.90100  0.001259326  11859.90100  0.000691712  11859.90100 -0.002214804  11859.90100 -0.002578040  11859.90100 -0.003059867  11859.90100  0.000610193  11859.90100 -0.003865381  11859.90100  0.000978826  11859.90100  0.001062798  11859.90100 -0.005332824
 11861.32000  0.015230016  11861.32000  0.002873260  11861.32000  0.003982056  11861.32000  0.010802041  11861.32000  0.017686745  11861.32000  0.003786823  11861.32000  0.003536928  11861.32000  0.003412737  11861.32000  0.010865322  11861.32000  0.016185162  11861.32000  0.003803492  11861.32000  0.015247983  11861.32000  0.008003796  11861.32000 -0.002595223  11861.32000  0.002462881  11861.32000  0.003117604  11861.32000  0.007103885  11861.32000  0.003912557  11861.32000  0.011854545  11861.32000  0.012824075  11861.32000  0.005388820
 11862.59000  0.044704452  11862.59000  0.016876546  11862.59000  0.024383445  11862.59000  0.031399651  11862.59000  0.051787544  11862.59000  0.023082107  11862.59000  0.021219911  11862.59000  0.020521550  11862.59000  0.031500485  11862.59000  0.047700716  11862.59000  0.022668950  11862.59000  0.044980383  11862.59000  0.022777437  11862.59000  0.002636773  11862.59000  0.015299432  11862.59000  0.018436896  11862.59000  0.020325197  11862.59000  0.023618594  11862.59000  0.034812590  11862.59000  0.037634908  11862.59000  0.032718029
 11863.71000  0.098575049  11863.71000  0.042862675  11863.71000  0.064046157  11863.71000  0.068628158  11863.71000  0.113969706  11863.71000  0.060453459  11863.71000  0.054721903  11863.71000  0.052846229  11863.71000  0.068485420  11863.71000  0.105804016  11863.71000  0.058183780  11863.71000  0.100131715  11863.71000  0.048582822  11863.71000  0.014768057  11863.71000  0.038772583  11863.71000  0.047024422  11863.71000  0.043679277  11863.71000  0.061289579  11863.71000  0.077042102  11863.71000  0.082999143  11863.71000  0.085216134
 11864.68100  0.191926476  11864.68100  0.086604499  11864.68100  0.134229145  11864.68100  0.132502790  11864.68100  0.221251901  11864.68100  0.126433492  11864.68100  0.112489058  11864.68100  0.108132124  11864.68100  0.131367849  11864.68100  0.207652989  11864.68100  0.118992202  11864.68100  0.197519014  11864.68100  0.091334920  11864.68100  0.035352005  11864.68100  0.076619484  11864.68100  0.095454477  11864.68100  0.082889983  11864.68100  0.126761467  11864.68100  0.150925185  11864.68100  0.161676784  11864.68100  0.176682544
 11865.50200  0.344293342  11865.50200  0.155546260  11865.50200  0.249282599  11865.50200  0.236468620  11865.50200  0.396152189  11865.50200  0.234579155  11865.50200  0.206314049  11865.50200  0.197304057  11865.50200  0.233656945  11865.50200  0.376325523  11865.50200  0.216327352  11865.50200  0.358732264  11865.50200  0.158329115  11865.50200  0.065432004  11865.50200  0.132290494  11865.50200  0.171609687  11865.50200  0.145067869  11865.50200  0.232325929  11865.50200  0.272301106  11865.50200  0.289548513  11865.50200  0.324692448
 11866.11600  0.555090881  11866.11600  0.246769420  11866.11600  0.408607867  11866.11600  0.378606078  11866.11600  0.636717912  11866.11600  0.383324612  11866.11600  0.332854504  11866.11600  0.314900935  11866.11600  0.372249956  11866.11600  0.611176721  11866.11600  0.347055119  11866.11600  0.585267288  11866.11600  0.247955646  11866.11600  0.097394126  11866.11600  0.205360248  11866.11600  0.273866494  11866.11600  0.229130223  11866.11600  0.376508529  11866.11600  0.439677181  11866.11600  0.465172977  11866.11600  0.526581402
 11866.74200  0.890224136  11866.74200  0.394284369  11866.74200  0.663368913  11866.74200  0.601436787  11866.74200  1.024930063  11866.74200  0.620308665  11866.74200  0.546517808  11866.74200  0.518554429  11866.74200  0.601278261  11866.74200  0.981142540  11866.74200  0.557147484  11866.74200  0.931968383  11866.74200  0.382589401  11866.74200  0.155845634  11866.74200  0.327194206  11866.74200  0.436053805  11866.74200  0.355104567  11866.74200  0.606302067  11866.74200  0.678484970  11866.74200  0.717935375  11866.74200  0.854590801
